"username","n"
"@adi_vijaya",2
"@andyleeck",2
"@bioticfoundry",2
"@caprifdn",2
"@carlodaverona",2
"@castorboludo",2
"@cougpc9018",2
"@cronica_6",2
"@davis_kate54146",2
"@de__boye",2
"@decrypt_reflex",2
"@digidiploTaiwan",2
"@dspencer47",2
"@eastern_star_9",2
"@ecJulie",2
"@englishpardafas",2
"@eyesnews2019",2
"@favstats",2
"@feuertinte",2
"@gilbertkibiwot4",2
"@globalnewsnexus",2
"@gwusigurcenter",2
"@happeningchina",2
"@hoganindc2015",2
"@janet_steele",2
"@konstantovuna",2
"@latest_insightz",2
"@littaisianggi11",2
"@lovebob",2
"@maristelademelo",2
"@mcelderrytruth",2
"@mdsagoralitw",2
"@meng_yao1",2
"@mgiulianico",2
"@mohammed_b40",2
"@mukuljrsharma",2
"@niccijsmith",2
"@nimblevettw",2
"@otiniferdy",2
"@paidgaming245",2
"@palepurshankar",2
"@pasracic",2
"@pointactualites",2
"@prachachat",2
"@productiveplac1",2
"@pueaaunam",2
"@rbsw",2
"@realjosiah2008",2
"@rehmanplayer1",2
"@rock_mansoori",2
"@rs_sputnik",2
"@sanhochung",2
"@scheeinfo",2
"@showbiznews142",2
"@smilehumanbeing",2
"@suvvz",2
"@teco_brunei",2
"@tecochicago",2
"@the_plu",2
"@thenewsdrum",2
"@theraisinahills",2
"@tizooahnerf",2
"@ustaiwan",2
"@v_abigael",2
"@xiao1_bao",2
"@yarloong",2
"@yueparkinson",2
"@111kiranwrites",1
"@1jagjeetsingh",1
"@1stIndiaNews",1
"@20NeverGiveUp02",1
"@64glider89",1
"@9Oo0o0Oo0",1
"@A20240407",1
"@AClaiborne_Noah",1
"@AIGuy10085",1
"@AJanjua1401",1
"@AKoslerova",1
"@AST_HQ",1
"@Aaljga",1
"@Abdu_Uyghurs",1
"@Abhikumar102",1
"@Adam0902731",1
"@Adriano97865061",1
"@AdvAlokkpandey",1
"@AdvShivThakur",1
"@Agenzia_Italia",1
"@AhadHun25",1
"@Ahmad_Bilal",1
"@Ajaxjacksss",1
"@Ajeet1994",1
"@AkikoFukumoto0",1
"@Al_Goodwyn",1
"@Aladdin_X1",1
"@AlbertoFNeumann",1
"@All_Light_Long",1
"@Alm_dude",1
"@AlxAstro",1
"@AmburgeySharyn",1
"@AmericaReforme1",1
"@Anam_Fatyma",1
"@Ananth_IRAS",1
"@AndreDupon25",1
"@AndrewSErickson",1
"@Ang31ooo",1
"@AnmNews",1
"@AnthoSaintLeger",1
"@AnthonyShaw91",1
"@Antiwarcom",1
"@AqsaYounasRana",1
"@AraLegend_",1
"@ArequipaTimes",1
"@AsadRao1u",1
"@AshleighWi40005",1
"@AsianHeraldNews",1
"@AsianetNewsTM",1
"@AstroNitroNews",1
"@AuEpochTimes",1
"@AucklandTeco",1
"@AungDe",1
"@AurelieBonal",1
"@AwnNaqvi4",1
"@AytunaMemet",1
"@Azeem2048",1
"@AzizullahK87087",1
"@BBCPankajP",1
"@BBCsarika",1
"@BFallevoz",1
"@BGTimesIndia",1
"@BWeberD",1
"@BasildonParty",1
"@BasuAshis",1
"@Becky80963649",1
"@Benwhi",1
"@Bermuda_Intl",1
"@BernardDjuna",1
"@Bharat24Liv",1
"@Big_Noodle",1
"@BijayLaxmiC",1
"@BilalSH38718802",1
"@BinXuAtlanta",1
"@BismaNazir98",1
"@BlueSoftware893",1
"@Bodhi_D_dharma",1
"@Bodor1302",1
"@BogachanOz12426",1
"@BrindusaB1",1
"@Bryaniu",1
"@BtpCarlos",1
"@BurgerEmmanuel",1
"@Bursalhd2",1
"@CAGlobalAffairs",1
"@CBSLizpalmer",1
"@CCPTrolling",1
"@CIPolicy",1
"@CJW_0118",1
"@CLAPOTMireille",1
"@CNBCi",1
"@CSRI_UK",1
"@CamGeopolitics",1
"@CanadianmediaA",1
"@Canberra_Cat",1
"@Candy8030",1
"@CaptainWoke63",1
"@CarlaHSands",1
"@Carmelides",1
"@CatAged",1
"@CavaggioniMario",1
"@CeccoFab",1
"@CelebrateAwe",1
"@CertifiedMia_2",1
"@Chicagoan1959",1
"@Chienhuang__",1
"@ChileMarxista",1
"@ChinaNet1234",1
"@China_Glimpse",1
"@ChloecLoNews",1
"@Chris59830617",1
"@ChrisLanzberg",1
"@ChristiDurando",1
"@CitizenOfGlobe1",1
"@Clearsighting2",1
"@ColinZHall",1
"@ConservNewsView",1
"@ConstanceLeGrip",1
"@ContarteAlgo_",1
"@CoveyAmerica",1
"@Crafter4ever13",1
"@CrespiEnrico",1
"@CryptoGodfatha",1
"@DCTwining",1
"@DNyeko",1
"@DSadaf2464",1
"@DSakaliene",1
"@DaTaChArTGuY",1
"@DailySoak",1
"@DamonMacWilson",1
"@DanijelSheran17",1
"@DanitaYadav",1
"@Dardl4",1
"@DarioSabaghi",1
"@Darvaishhhhhh",1
"@DavidClinchNews",1
"@DavidMawan21",1
"@DavidSw41256191",1
"@DavidWa01448973",1
"@DavideGraffieti",1
"@DeepakKharel037",1
"@DefensePitz",1
"@Derekintherain",1
"@DhakaTribune",1
"@Dieuson1",1
"@DistinctPost",1
"@DivSeshG",1
"@DolkerYangchen_",1
"@DominoTheoryMag",1
"@DrAsifShahid",1
"@DreyerChina",1
"@Drkofibenjamin",1
"@DuddakuntaBJP",1
"@Durandal2010",1
"@Duskrosun",1
"@EPARDAFAS",1
"@EP_Lawrence",1
"@ETVBharatEng",1
"@EagleBearEcon",1
"@EdSafetyUK",1
"@ElCuerv53969182",1
"@ElLizitski",1
"@Eliasverdadeiro",1
"@Elite_Theory",1
"@Elleonfx",1
"@EmekaGift100",1
"@EmergingMrktSkp",1
"@EmperorBlargus",1
"@EncuestasInter4",1
"@EngleTV",1
"@Enlighthening_",1
"@EnodoEconomics",1
"@EpochTimesChina",1
"@EpochTimesDE",1
"@EricsonMartin6",1
"@EricssenWen",1
"@ErinJoyce",1
"@ErinMcGreehan",1
"@EroComfort",1
"@Esalcide",1
"@EstebanValverde",1
"@EuniceR2804",1
"@Eurodude23",1
"@EvaVijay",1
"@EvilCat699",1
"@FLCembROC",1
"@FPRI",1
"@FZDXijp",1
"@FabiFleige",1
"@FabiansHammer",1
"@Fabs17180",1
"@Faheem__Rabbani",1
"@FarraSitar99237",1
"@FedericaUrzo",1
"@FeiHsien_Wang",1
"@FieldScenery",1
"@FijiTaiwan",1
"@FinancialXpress",1
"@FiorenzoNord",1
"@Francesc_Forex",1
"@FranciscoJ_Haro",1
"@FrankBarish",1
"@FreeGatteo",1
"@FreedomTodayNet",1
"@FriasAlejandro_",1
"@G7Hiroshima",1
"@GED_Tweet",1
"@Gabriele_fisico",1
"@GaiaSono",1
"@GalgaleSwanand",1
"@GeeWhizz2023",1
"@GeoPolUpdates",1
"@GeopoliticsGIR",1
"@Geopolitics__",1
"@GiannoniSA",1
"@GipsyChic1",1
"@GiuseppePrada1",1
"@GlobalMktObserv",1
"@Globaltalks12",1
"@GoFundTaiwan",1
